Date;Price
04.10.2017;224,0308
03.10.2017;223,9163
02.10.2017;223,4457
29.09.2017;221,3817
28.09.2017;221,0376
27.09.2017;221,7412
26.09.2017;220,5357
25.09.2017;219,3873
22.09.2017;218,4007
21.09.2017;218,9717
20.09.2017;218,5203
19.09.2017;218,5217
18.09.2017;218,5098
15.09.2017;217,8114
14.09.2017;218,9918
13.09.2017;218,4661
12.09.2017;217,9968
11.09.2017;216,7649
08.09.2017;214,2253
07.09.2017;214,4305
06.09.2017;214,9464
05.09.2017;214,8211
04.09.2017;215,8154
01.09.2017;216,8456
31.08.2017;215,9723
30.08.2017;214,2916
29.08.2017;211,8983
28.08.2017;213,3396
25.08.2017;214,6845
24.08.2017;215,3433
23.08.2017;215,2284
22.08.2017;216,3656
21.08.2017;213,9076
18.08.2017;214,8544
17.08.2017;215,6638
16.08.2017;218,0306
15.08.2017;217,0597
14.08.2017;216,1956
11.08.2017;214,3323
10.08.2017;215,6472
09.08.2017;218,1169
08.08.2017;218,9114
07.08.2017;218,2162
04.08.2017;218,453
03.08.2017;216,1146
02.08.2017;216,7737
01.08.2017;217,6007
31.07.2017;216,9875
28.07.2017;217,6326
27.07.2017;219,601
26.07.2017;219,9345
25.07.2017;219,1955
24.07.2017;219,0327
21.07.2017;219,0617
20.07.2017;219,9224
19.07.2017;221,6728
18.07.2017;219,3962
17.07.2017;221,3571
14.07.2017;221,6479
13.07.2017;221,2118
12.07.2017;220,2118
11.07.2017;218,1907
10.07.2017;218,6978
07.07.2017;218,0792
06.07.2017;217,4667
05.07.2017;220,1315
04.07.2017;219,4573
03.07.2017;219,486
30.06.2017;218,2328
29.06.2017;218,2263
28.06.2017;220,6084
27.06.2017;220,73
26.06.2017;223,4643
23.06.2017;223,0346
22.06.2017;223,4625
21.06.2017;223,502
20.06.2017;224,1386
19.06.2017;224,8484
16.06.2017;222,6188
15.06.2017;222,9128
14.06.2017;222,0279
13.06.2017;223,1661
12.06.2017;222,161
09.06.2017;223,1665
08.06.2017;222,5712
07.06.2017;221,9506
06.06.2017;221,7724
05.06.2017;222,6506
02.06.2017;222,4882
01.06.2017;222,047
31.05.2017;220,3804
29.05.2017;221,9064
26.05.2017;221,8609
25.05.2017;221,458
24.05.2017;221,0774
23.05.2017;220,0409
22.05.2017;219,4594
19.05.2017;219,2449
18.05.2017;218,978
17.05.2017;219,2019
16.05.2017;223,0316
15.05.2017;224,5018
12.05.2017;224,4922
11.05.2017;225,3717
10.05.2017;225,6421
09.05.2017;224,7627
08.05.2017;224,1771
05.05.2017;222,7592
04.05.2017;222,5564
03.05.2017;223,0859
02.05.2017;223,5713
01.05.2017;222,6149
28.04.2017;222,6946
27.04.2017;223,4992
26.04.2017;223,4497
25.04.2017;222,3959
24.04.2017;222,3091
21.04.2017;222,4901
20.04.2017;221,2539
19.04.2017;220,932
18.04.2017;221,6112
17.04.2017;223,3967
14.04.2017;222,652
13.04.2017;222,8013
12.04.2017;223,8617
11.04.2017;224,1073
10.04.2017;224,6903
07.04.2017;224,227
06.04.2017;223,5333
05.04.2017;223,4506
04.04.2017;223,7684
03.04.2017;223,8528
31.03.2017;223,2811
30.03.2017;223,3933
29.03.2017;222,7679
28.03.2017;220,3782
27.03.2017;218,4721
24.03.2017;220,2201
23.03.2017;220,4739
22.03.2017;219,897
21.03.2017;220,2666
20.03.2017;222,903
17.03.2017;223,2496
16.03.2017;223,3861
15.03.2017;223,996
14.03.2017;222,3797
13.03.2017;222,5977
10.03.2017;222,0693
09.03.2017;222,4857
08.03.2017;223,1742
07.03.2017;223,2966
06.03.2017;223,4279
03.03.2017;224,4491
02.03.2017;225,3362
01.03.2017;225,5283
28.02.2017;222,0601
27.02.2017;222,7471
24.02.2017;223,6465
23.02.2017;223,8419
22.02.2017;224,4676
21.02.2017;224,5324
20.02.2017;222,0029
17.02.2017;221,6798
